,titles,offers,locations,titles_clean
102,Radnik na doradi (m/ž),"OXYGEN d.o.o., Sarajevo raspisuje
KONKURS
za prijem u radni odnos
POZICIJA: Radnik na doradi
  USLOVI KOJE KANDIDAT TREBA ISPUNJAVATI:
Radno iskustvo u štampariji
Organizovanost i spretnost
Spremnost na timski rad
Vozačka dozvola B kategorije
Završena grafička škola (poželjno)
KLJUČNI ZADACI I ODGOVORNOSTI:
Dorada malih i velikih formata
Montaža naljepnica na ravne i krive površine
Rezanje, kaširanje, proces dorade materijala u štampariji
Rad sa pločastim materijalima
Izrada svijetlećih reklama (poželjno)

Molimo zainteresovane kandidate da svoje prijave i CV pošalju putem opcije: ""Prijavite se na oglas"" ili na adresu Ejuba Ademovića 33, Sarajevo uz naznaku (Prijava na konkurs)","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 1
Moguć rad od kuće (remote): Ne
Oglas objavljen: 10.06.2024. u 16:32
Oglas ističe: 11.07.2024. u 23:59",Radnik na doradi
103,Bravar / varioc (m),"Kompaniji Husović d.o.o potreban: Bravar / varioc.
Nudimo:
Početna plata 1800 KM
Puno radno vrijeme
Vaše prijave možete poslati putem opcije: ""Prijavite se na oglas"".
Prijaviti se možete i pozivom na brojeve:
033/274-620
061-507-930
Kontakt osoba: Irma","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 2
Moguć rad od kuće (remote): Ne
Oglas objavljen: 10.06.2024. u 16:23
Oglas ističe: 11.07.2024. u 16:23",Bravar / varioc (m)
104,DTP operater (m/ž),"OXYGEN d.o.o., Sarajevo raspisuje
KONKURS
za prijem u radni odnos
POZICIJA: DTP operater
USLOVI KOJE KANDIDAT TREBA ISPUNJAVATI:
Radno iskustvo u štampariji
Iskustvo u radu sa ploterom i digitalnim printerima
Poznavanje rada u llustrator, Corel Draw 17 (prioritet) , Abobe PhotoPhop, Abobe Acrobar Reader
Organizovanost i spretnost
Spremnost na timski rad
Završena grafička škola (poželjno)
KLJUČNI ZADACI I ODGOVORNOSTI:
Rad na ploteru i digitalnim printerima
Priprema za štampu
Voditi proces proizvodnje
Voditi evidenciju utrošenih materijala
Spremnost za timski rad
Fleksibilnost i odgovornost u radu
Molimo zainteresovane kandidate da svoje prijave i CV pošalju putem opcije: ""Prijavite se na oglas"" ili na adresu Ejuba Ademovića 33, Sarajevo uz naznaku (Prijava na konkurs)","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 1
Moguć rad od kuće (remote): Ne
Oglas objavljen: 10.06.2024. u 16:13
Oglas ističe: 10.07.2024. u 23:59",DTP operater
105,Serviser vatrogasnih aparata (m/ž),"Firma MAHER d.o.o. Sarajevo je osnovana 1996. godine u BiH. Osnovna djelatnost firme su projektovanje, inzinjering, mjerenja i atestiranje, izvodjenje zavrsnih radova u gradjevinarstvu.
Serviser vatrogasnih aparata (PPA)
Uslovi:
III ili IV stepen SSS (elektrotehničar)
Poznavanje rada na računaru (Word)
Radno iskustvo poželjno nije obavezno
Položen vozački ispit B kategorije 
Opis poslova:
Ispitivanje vatrogasne opreme
Dostava dokumentacije na adrese investitora 
Od vas očekujemo:
Samoinicijativu
Sklonost ka timskom radu 
Ljubaznost
Povjeriljivost
Nudimo vam:
Rad u stabilnoj i perspektivnoj firmi 
Rad u timu uz mogučnost napredovanja i stručnog usavršavanja
Redovna primanja
Subota, nedjelja i svi praznici slobodni 
Stimulacija za sve praznike 
Regres 
Vaše prijave možete poslati putem opcije: ""Prijavite se na oglas"".","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 1
Moguć rad od kuće (remote): Ne
Oglas objavljen: 10.06.2024. u 14:58
Oglas ističe: 11.07.2024. u 23:59",Serviser vatrogasnih aparata
106,Sachbearbeiter (m/w/d) für AXA – Schaden Motorfahrzeuge,"TELUS International sucht begeisterte Kundenberater:innen, die exzellenten Kundenservice bieten wollen.
Ob Call Center Profi oder Quereinsteiger – wenn du kommunikationsfreudig bist und Spaß am Umgang mit Menschen hast, dann haben wir den idealen Job für dich!
  Was wir bieten:
Fixe Grundvergütung in Höhe von 1650 BAM netto und sehr attraktive Bonifikationsmöglichkeiten
Unbefristeten Arbeitsvertrag
Flexible Planung der Einsatzzeiten im Rahmen von 07:30 – 18:00 Uhr (Mo – Fr)
Einstiegsbonus in Höhe von 1000 BAM netto (Einmalige Auszahlung des ganzen Betrages nach 3 Monaten)
Home Office Möglichkeit besteht nach einer erfolgreichen Schulung und Einarbeitungsphase, in Absprache mit der Projektleitung
Freunde werben lohnt sich - 1400 BAM brutto Bonus für Mitarbeiterempfehlungen
Zusätzliche Bonusmöglichkeiten - Mitarbeiter des Monats
Möglichkeit der Teilzeitarbeit (30/35/40 Std./Wo.) 
Tolles Office mit modernsten Arbeitsplätzen
Hochmotiviertes und engagiertes Team
Die Chance, sich zu einem Top-Dienstleistungsprofi weiterzuentwickeln
Interne Aus- und Weiterbildungsmöglichkeiten, sowie Aufstiegschancen in unserem international tätigen Unternehmen
Positives internationales Arbeitsumfeld
Deine Aufgaben im Überblick:
Du bearbeitest Schadenfälle im Segment Motorfahrzeuge selbständig und proaktiv
Du hast einen lösungsorientierten Blick für vielfältige Anliegen und sicherst mit deiner empathischen Kommunikation die Zufriedenheit aller Beteiligten im Schadenfall
Du bist Ansprechpartner für Versicherungsnehmer, Geschädigte sowie Reparaturfirmen und andere Versicherungsgesellschaften und gibst telefonisch Auskunft
Du entwickelst mittels interner Ausbildungen deine Kompetenz weiter und beantwortest Anfragen auch auf schriftlichem Weg
Du klärst den Sachverhalt, beurteilst die Deckungs- und Haftungsfragen und bezahlst die ausgewiesenen Forderungen
Was wir erwarten:
Gute Deutschkenntnisse (C1 in Wort und Schrift)
Freude am Kundenkontakt und empathisches Vorgehen bei der Bearbeitung vielfältiger Kundenanfragen
Vernetztes und kundenorientiertes Denkvermögen
Interesse an abwechslungsreicher und dynamischer Arbeit
Gute Organisations- und Kommunikationsfähigkeiten
Kundenorientierung und Begeisterung für Teamarbeit
Flexibilität und Zuverlässigkeit
Gute PC-Kenntnisse
Hast du Spaß am Kundenkontakt? Dann bewirb dich gleich!
Unser Recruiting-Team steht dir jederzeit für Fragen unter +387 33 876 543 zur Verfügung und freut sich auf deine aussagekräftige Bewerbung auf Deutsch mit Angabe des frühesten Eintrittstermins.
Über uns: Seit unserer Gründung 1998 ist ausgezeichneter Kund:innenservice unsere Leidenschaft – 2020 sind wir den nächsten Schritt gegangen und nun Teil von TELUS International. Seitdem bieten international fast 68.000 Teammitglieder in über 50 Sprachen Kund:innenservice auf höchstem Niveau – und das für weltweit agierende und angesehene Partner.
  Unser Standort:
CCC d.o.o. Sarajevo a member of TELUS International Group
Trg međunarodnog prijateljstva bb
71000 Sarajewo, Bosnien und Herzegowina
+387 33 876 543
  Arbeitgeber mit Chancengleichheit
TELUS International ist stolz darauf, ein Arbeitgeber der Chancengleichheit zu sein, und setzt sich für die Umsetzung eines vielfältigen und integrativen Arbeitsplatzes ein. Alle Aspekte der Beschäftigung, einschließlich Einstellungs - und Beförderungsentscheidung, beruhen auf der Qualifikation, den Fähigkeiten, der Kompetenz und der Leistung der Bewerber ohne Berücksichtigung von Eigenschaften im Zusammenhang mit der Vielfalt. 
Bewerber:innen mit besonderen Bedürfnissen werden bei gleicher Eignung bevorzugt berücksichtigt.","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 5
Moguć rad od kuće (remote): Ne
Plata od: 1650 KM (netto)
Oglas objavljen: 10.06.2024. u 14:45
Oglas ističe: 24.06.2024. u 14:45",Sachbearbeiter (m/w/d) für AXA – Schaden Motorfahrzeuge
107,Istraživač (m/ž),"K O N K U R S
za prijem uposlenika u radni odnos na  radno mjesto / poziciju:
 Istraživač
Opis radnog mjesta:
Pomoć u vođenju istraživačkih projekata iz oblasti društvenih,merketinških,medijskih istraživanja, ispitivanja javnog mnijenja (rad sa drugima u timu na implementaciji istraživačkih projekata)
Pomoć u pripremi nacrta i metodologije istraživanja (priprema upitnika, uzorka, instrukcija)
Pomoć u provođenju istraživanja (organizacija rada anketara, nadgledanje rokova, budžeta, supervizija)
Pomoć u statisitičkoj analizi rezultata, pisanju analitičkih izvještaja, prezentaciji rezultata (statistička kvantitativna i kvalitativna analiza, pisanje analitičkih izvještaja, nalaza, preporuka, prezentacija rezultata)
Posebni uvjeti: 
Minimalno VSS, završen fakultet iz oblasti društvenih i humanisitičkih nauka
Iskustvo u statističkoj kvantitativnoj i kvalitativnoj analizi podataka, tabelarnoj i grafičkoj prezentaciji rezultata, pisanju analitičkih izvještaja; najmanje godinu dana u organizaciji/firmi, ili najmanje tri istraživačka projekta u oblasti društvenih, marketinških, medijskih Istraživanja i ispitivanja javnog mnijenja.
Aktivno poznavanje engleskog jezika (mogućnost čitanja, pisanja i govora)
Odlično poznavanje rada u MS Word-u, Excelu, PowerPointu, PowerBi, SPSS-u
Izražena inovativnost, poduzetnost u radu.
Ključne vještine i osobine:
Izražene analitičke sposobnosti i interes za istraživanja
Izražene sposobnosti pismenog u usmenog izražavanja 
Razvijene  prezentacijske sposobnosti
Izražena spremnost za intenzivno učenje i vlastiti razvoj
Inovantivnost, visok stepen inicijative, pedantnost i preciznost u radu
Izražene komunikacijske i organizacijske sposobnosti, prilagodljivost i fleksibilnost u radu, spremnost za rad u timskom okruženju
Oglas za sve radne pozicije ostaje otvoren do 10.07.2024. godine. Pozivaju se svi kandidati da svoje prijave, odnosno biografije dostave putem opcije: ""Prijavite se na oglas"".
Izabrani kandidati će biti obaviješteni o daljnjem postupku.","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 1
Moguć rad od kuće (remote): Ne
Oglas objavljen: 10.06.2024. u 13:55
Oglas ističe: 10.07.2024. u 23:59",Istraživač
108,Komercijalista u području prodaje hemikalija (m/ž),"ECP d.o.o. firma iz Slovenije s predstavništvom u Sarajevu sa više od dvadeset godina iskustva u području prodaje hemikalija za sve industrijske grane, poziva vas da postanete dio našeg tima.
Pozicija: Komercijalista u području prodaje hemikalija (m/ž)
Opis posla:
Prezentacija, promocija i prodaja proizvoda ECP d.o.o. kompanije
Održavanje i razvijanje mreže postojećih i novih kupaca
Po potrebi obilazak postojećih i potencijalnih kupaca
Spremnost na učenje i usavršavanje
Redovno izvještavanje o radnim aktivnostima i postignutirn ciljevima
Potrebna znanja i vještine:
VŠS,VSS (prednost će imati kandidati sa završenim PMF-odsjek hemija ili biologija, Poljoprivredno prehrambeni fakultet-smjer prehrambene tehnologije)
Iskustvo u poslovima prodaje
Poznavanje rada na računaru (MS Excel, MS Word)
Poznavanje jednog stranog jezika (u govoru i pismu)
Komunikativna, ambiciozna, prilagodljiva osoba
Vozačka dozvola B kategorije
Nudimo:
Mogućnost zasnivanja radnog odnosa na neodređeno vrijeme
ogućnost profesionalnog usavršavanja i napredovanja shodno postignutim rezultatima
Rad u dinamičnom okruženju
Redovna stimulativna primanja i bonusi
Uz prijavu na konkurs obavezno dostaviti slijedeću dokumentaciju:
CV 
Vaše prijave možete poslati putem opcije: ""Prijavite se na oglas"".","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 1
Moguć rad od kuće (remote): Ne
Oglas objavljen: 10.06.2024. u 11:18
Oglas ističe: 25.06.2024. u 11:18",Komercijalista u području prodaje hemikalija
109,Šanker (m/ž),"Caffeteria Čokolada, uspješan ugostiteljski objekt koji posluje od 2021. godine, zbog proširenja asortimana i povecanja obima posla traži motivisane i iskusne osobe za poziciju: Šanker (m/ž)
Lokacija: Caffeteria Čokolada, Kemala Kapetanovića 15
Opis posla:
Pružanje izvanredne usluge gostima uz osmijeh i ljubaznost
Briga o ugledu objekta i održavanje higijene radnog prostora
Efikasno i precizno pripremanje napitaka i posluživanje gostima
Uslovi:
Prethodno iskustvo na poziciji konobara ili sankera
Visok nivo discipline i stabilnosti ličnosti
Fleksibilnost i spremnost na rad u promjenjivim uslovima
Ponuda:
Mogućnost profesionalnog razvoja
Dinamično i prijateljsko radno okruženje
Odlična primanja, bonuse i mogućnost napredovanja
  Molimo osobe koje ne ispunjavaju navedene uslove da se ne prijavljuju. Također, kratkoročni kandidati i kandidati za koje se iz nekih razloga ne može izvršiti prijava JS3100 nisu u obziru za ovu poziciju.
  Vaše prijave pošaljite putem opcije: ""Prijavite se na oglas"" sa naznakom ""Prijava za konobara/sankera - Caffeteria Čokolada"".
  Prijave se primaju do 30.03.2024.","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 2
Moguć rad od kuće (remote): Ne
Oglas objavljen: 10.06.2024. u 10:47
Oglas ističe: 28.06.2024. u 23:59",Šanker
110,Konobar (m/ž),"Caffeteria Čokolada, uspješan ugostiteljski objekt koji posluje od 2021. godine, zbog proširenja asortimana i povecanja obima posla traži motivisane i iskusne osobe za poziciju: Konobar (m/ž)
Lokacija: Caffeteria Čokolada, Kemala Kapetanovića 15
Opis posla:
Pružanje izvanredne usluge gostima uz osmijeh i ljubaznost
Briga o ugledu objekta i održavanje higijene radnog prostora
Efikasno i precizno pripremanje napitaka i posluživanje gostima
  Uslovi:
Prethodno iskustvo na poziciji konobara ili sankera
Visok nivo discipline i stabilnosti ličnosti
Fleksibilnost i spremnost na rad u promjenjivim uslovima
  Ponuda:
Mogućnost profesionalnog razvoja
Dinamično i prijateljsko radno okruženje
Odlična primanja, bonuse i mogućnost napredovanja
  Molimo osobe koje ne ispunjavaju navedene uslove da se ne prijavljuju. Također, kratkoročni kandidati i kandidati za koje se iz nekih razloga ne može izvršiti prijava JS3100 nisu u obziru za ovu poziciju.
  Vaše prijave pošaljite putem opcije: ""Prijavite se na oglas"".
  Više informacija na: 062 18 88 80","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 1
Moguć rad od kuće (remote): Ne
Oglas objavljen: 10.06.2024. u 10:47
Oglas ističe: 28.06.2024. u 23:59",Konobar
111,Vozač / dostavljač (m/ž),"Kemoprom d.o.o. je firma osnovana 2000 godine kao mala trgovinska radnja. Vremenom smo se postepeno širili i sad smo firma sa tri maloprodajna i tri veleprodajna objekta.
Tražimo: Ozbiljnog radnika koji će dati doprinos u razvoju naše prodaje.
Poželjno poznavanje materijala (roba građevinsko-instalacionog programa).
Poželjno radno iskustvo na istim ili sličnim poslovima.
Nudimo: Stimulativna redovna primanja, mogućnost napredovanja, dobru radnu atmosferu i prijavu  na neodređeno.
Za više informacija  možete nazvati na broj 061 201-529.
Prijave putem opcije: ""Prijavite se na oglas"".","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 1
Moguć rad od kuće (remote): Ne
Oglas objavljen: 10.06.2024. u 10:17
Oglas ističe: 11.07.2024. u 10:17",Vozač / dostavljač
112,Mobilni kreditni službenik (m/ž),"Partner mikrokreditno društvo pruža usluge mikrokreditiranja u Bosni i Hercegovini. Društvo je osnovala 2023. „Partner mikrokreditna fondacija“ Tuzla, najveća mikrokreditna fondacija u BiH. Plasiranjem mikrokredita Društvo ispunjava i svoje socijalne ciljeve direktno utičući na zaposlenost i stvaranje novih radnih mjesta. Vrijednosti za koje se Društvo zalaže u radu sa korisnicima mikrokredita i radnicima su: timski rad, iskrenost, jednakost, odgovornost i učenje.
Oglas za prijem u radni odnos:
  Naziv pozicije:  Mobilni kreditni službenik
Broj izvršilaca: 7
PODRUČJE RADA:
1. Čapljina, Ljubuški,Čitluk,Grude,Neum,Stolac,Ljubinje,Trebinje,Bileća – 1 izvršilac
2. Hadžići, Konjic, Jablanica, Prozor - 1 izvršilac
3. Sarajevo, Opštine Centar i Stari Grad, Opština Pale FBiH i RS – 1 izvršilac
4. Bugojno, Gornji Vakuf – 1 izvršilac
5. Olovo, Vogošća – 1 izvršilac
6. Banja Luka - 1 izvršilac
7. Prijedor, Sanski Most, Ribnik, Ključ – 1 izvršilac
GLAVNE ODGOVORNOSTI:
Promocija, izdavanje i kvalitet kreditnog portfolija usmjerenog za individualno komercijalno mikrokreditiranje osoba koje žele da pokrenu ili prošire biznis, čiji su biznisi održivi, ili koji žele da poboljšaju uslove i kvalitet života. Pružanje usluga Partner-a na terenu, neposrednim kontaktom sa potencijalnim korisnicima mikrokredita, kao i putem poslovnih partnera sa kojima zaključuje ugovor o poslovnoj saradnji (zadruge, udruženja, proizvođači, privredni subjekti).  
USLOVI ZA PRIJAVU:
BiH državljanstvo
Srednja stručna sprema (SSS) ili VSS (ECTS 180 bodova) iz oblasti ekonomije, marketinga ili društvenih nauka
Vozačka dozvola B kategorije i dobro vozačko iskustvo
Poznavanje MS office paketa
Da kandidat  živi na području rada za koje se prijavljuje
Da kandidat poznaje veći broj domaćinstava i ekonomske prilike na navedenom području rada
Organizacijske, prezentacijske, komunikacijske i pregovaračke sposobnosti, izražena kreativnost, fleksibilnost, visoka
Motivisanost, sposobnost rada u timu, spremnost na terenski rad, spremnost na kontinuiranu edukaciju
PREDNOST IMAJU KANDIDATI KOJI SU:
Pouzdani i motivisani za rad
Fleksibilni u smislu radnog vremena i mjesta rada
Spremni da rade u timovima
Spremni na naporan rad i putovanja
Komunikativni, samostalni, te spremni na kontinuiran aktivni doprinos
NUDIMO:
Radni odnos na neodređeno vrijeme
Probni rad u trajanju do 3 mjeseca, sa mogućnošću produženja na još 3 mjeseca
Stimulacije za postignute rezultate
Efikasnu tehničku i materijalnu podršku
Mogućnost rada od kuće
Edukacije i seminare
  Ukoliko ste zainteresovani da se pridružite našem timu, dostavite svoju prijavu i CV putem opcije: ""Prijavite se na oglas"" najkasnije do 23.06.2024.godine. Kako bi Vaša aplikacija bila uspješna, potrebno je popuniti našu internu formu za prikupljanje podataka o aplikantima čiji link je u nastavku https://forms.office.com/e/Dr95gRunzF. Obavezno navesti naziv pozicije i područje rada za koje se prijavljujete. Neblagovremene i nekompletne prijave neće biti uzete u razmatranje. Na razgovor i testiranje bit će pozvani  samo kandidati  koji uđu u uži izbor. Dostavljanjem prijave kandidati daju saglasnost Partner mikrokreditnom društvu Tuzla da njihove lične podatke, navedene u prijavi, može obrađivati u svrhu provođenja postupka zapošljavanja i na osnovu tih podataka vršiti provjere ličnih karakteristika i profesionalnih referenci kod bivših poslodavaca, tražiti podatke iz službenih evidencija nadležnih državnih organa, te nakon okončanja postupka zapošljavanja ove podatke pohraniti u svojim službenim evidencijama na period od 6 mjeseci. Za više informacija možete se javiti putem telefona 035 365 920. 
Više o nama možete saznati na našoj web stranici: www.partner.ba","Mjesto rada: Više lokacija
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 7
Moguć rad od kuće (remote): Ne
Oglas objavljen: 10.06.2024. u 09:37
Oglas ističe: 24.06.2024. u 09:37",Mobilni kreditni službenik
113,Blagajnik za obavljanje mjenjačkih poslova (m/ž),"My Change d.o.o. Sarajevo raspisuje oglas za prijem u radni odnos za radno mjesto Blagajnik u mjenjačnici (m/ž)
Ko smo mi?
My Change d.o.o. Sarajevo je finansijska kompanija osnovana 2018 . godine koja se bavi mjenjačkim poslovima
Tražimo odgovornog i stručnog blagajnika koji će se pridružiti našem timu u mjenjačknici. Kao blagajnik, vaše odgovornosti će uključivati: 
Obavljanje razmjene valuta klijentima prema trenutnim tečajevima
Vođenje evidencije o transakcijama i održavanje urednosti na radnom mjestu
Kvalifikacije:
Srednja stručna sprema
Engleski jezik 
Poznavanje rada na računaru (Microsoft Word, Excel, Outlook i Internet)
Posjedovanja uvjerenja o neosuđivanosti i nevođenju krivičnog postupka
Prednost, ali ne i uvjet pri zapošljavanju: 
Poznavanje drugih stranih jezika 
Iskustvo u radu s gotovinom 
Šta nudimo:
Mogućnost dugoročnog zaposlenja
Izvrsnu ekipu
Profesionalni razvoj
Stimulativna primanja
Pošalji svoj CV utem opcije: ""Prijavite se na oglas"" i pridruži se našem timu.","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 2
Moguć rad od kuće (remote): Ne
Oglas objavljen: 10.06.2024. u 09:23
Oglas ističe: 11.07.2024. u 23:59",Blagajnik za obavljanje mjenjačkih poslova
114,Turistički vodič (m/ž),"Dream Balkans Travel je incoming turistička agencija sa osam godina iskustva. Agencija radi isključivo sa stranim turistima koji posjećuju Bosnu i Hercegovinu, kao i regiju Balkana.
  Ako ste perspektivni i mislite da možete više onda se priključite ambicioznom i predanom timu profesionalaca, na radnom mjestu:
  Turistički vodič (m/ž)
  OBAVEZNI MINIMALNI USLOVI: 
Aktivno poznavanje engleskog jezika (minimum B2)
Posjedovanje vozačke dozvole kategorije B i minimalno 4 godine iskustva u vožnji
Iskustvo u turizmu nije neophodno!
KANDIDATI KOJI OSTVARUJU PREDNOST:
Kandidati sa 50+ godina
Ratni veterani
Poznavanje jos jednog svjetskog jezika, pored engleskog jezika
Kandidati kojim odgovara fleksibilno radno vrijeme
  Odgovarajući kandidat treba biti komunikativna, ambiciozna, poduzetna i pouzdana osoba, orijentisana ispunjavanju zadatih ciljeva i spremna na timski rad.
  Zainteresovani kandidati svoje aplikacije, CV na B/H/S jeziku, CV na engleskom jeziku, pismo namjere i ostale dokumente koje smatraju relevantnim poslati putem opcije: ""Prijavite se na oglas"".
  Lokacija: Sarajevska regija 
  Broj pozicija: 2","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 2
Moguć rad od kuće (remote): Da
Plata od: 1400 KM (netto)
Oglas objavljen: 10.06.2024. u 09:22
Oglas ističe: 11.07.2024. u 23:59",Turistički vodič
115,Cvjećar / trgovac (m/ž),"Zapošljavamo u Sarajevu - prijavite se!
Nudimo:
Osigurano stručno uvođenje u posao
Ugodno i dinamično radno okruženje
Pozicija: 
Tražimo radnika za prodaju i rad u cvjećarstvu.  Poželjno je da kandidati imaju diplomu i iskustvo kao poljoprivredni tehničar, ali otvoreni smo i za sve ostale koji su zainteresovani za rad u cvjetnom okruženju. 
Vaše prijave možete poslati putem opcije: ""Prijavite se na oglas"".","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 1
Moguć rad od kuće (remote): Ne
Oglas objavljen: 10.06.2024. u 07:58
Oglas ističe: 11.07.2024. u 23:59",Cvjećar / trgovac
116,Specijalista fizikalne medicine i rehabilitacije (m/ž),"Nudimo vam rad u stručnom, motivisanom timu, stalne edukacije, mogućnost napredovanja i rad u sportskim reprezentativnim selekcijama.
Potrebne kvalifikacije:
Položen stručni ispit
Poželjno radno iskustvo
Vaše prijave možete poslati putem opcije: ""Prijavite se na oglas"".","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 2
Moguć rad od kuće (remote): Ne
Oglas objavljen: 07.06.2024. u 16:01
Oglas ističe: 08.07.2024. u 16:01",Specijalista fizikalne medicine i rehabilitacije
117,Elektroinstalater / tehničar elektro struke (m/ž),"Elektroinstalateri/tehničari elektro struke (m/ž)
(rad na projektima u SR Njemačkoj)
  INT global d.o.o. Sarajevo je firma koja se bavi implementacijom naprednih tehnologija, planiranjem, organizacijom, implementacijom građevinskih projekata i sofisticiranih, high-end elektro i IT sistema.
Zbog povećanog obima posla, tražimo tehničare elektro struke za rad na projektima u Njemačkoj.
OPIS POSLA:
Izvođenje svih vrsta električnih instalacija, sistema uzemljenja, sklapanje razdjelnih i upravljačkih ormara, ugradnja elektroopreme (instalacijskih kanala, cijevi i kablova, sklopki, priključnica i rasvjetnih tijela-LED i dr)
Čitanje elektro šema i nacrta
Precizni monterski radovi, rad sa ručnim alatima
Ostali elektroinstalacijski i elektromonterski poslovi
USLOVI:
SSS ili VKV ili KV elektro struke
Radno iskustvo na poslovima u struci poželjno
Zdravstvena sposobnost za rad na visini i rad u inostranstvu
Sposobnost za timski rad
Poznavanje Njemačkoj jezika prednost
  Prijave slati putem opcije: ""Prijavite se na oglas"".
Mjesto rada: SR Njemačka
Potrebno je 10 izvršilaca.","Mjesto rada: Inostranstvo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 10
Moguć rad od kuće (remote): Ne
Oglas objavljen: 07.06.2024. u 16:00
Oglas ističe: 08.07.2024. u 23:59",Elektroinstalater / tehničar elektro struke
118,Monter metalnih konstrukcija (m/ž),"Monter metalnih konstrukcija (m)
(rad na projektima u Kraljevini Saudijskoj Arabiji)
  INT global d.o.o. Sarajevo je firma koja se bavi implementacijom naprednih tehnologija, planiranjem, organizacijom, implementacijom građevinskih projekata i sofisticiranih, high-end elektro i IT sistema. 
Zbog povećanog obima posla, tražimo montere metalnih konstrukcija za rad na projektima u Kraljevini Saudijskoj Arabiji.
  OPIS POSLA:
Montaža konstrukcija iz gotovih metalnih elemenata (fasadni sistemi)
Precizni monterski radovi, rad sa ručnim alatima, varenje
Montaža nosivih potkonstrukcija od čeličnih profila
Montaža opšavnih limova
USLOVI:
SSS ili VKV ili KV mašinske struke (mašinski tehničar, bravar, zavarivač, metalostrugar, mašinbravar)
Radno iskustvo na poslovima u struci
Zdravstvena sposobnost za rad na visini i rad u inostranstvu
Sposobnost za timski rad
  Prijave slati putem opcije: ""Prijavite se na oglas""
Mjesto rada: Kraljevina Saudijska Arabija
Potrebno je 40 izvršilaca.","Mjesto rada: Inostranstvo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 40
Moguć rad od kuće (remote): Ne
Oglas objavljen: 07.06.2024. u 16:00
Oglas ističe: 08.07.2024. u 23:59",Monter metalnih konstrukcija
119,Tehničar elektro struke (m/ž),"Tehničari elektro struke (m)
(rad na projektima u Kraljevini Saudijskoj Arabiji)
  INT global d.o.o. Sarajevo je firma koja se bavi implementacijom naprednih tehnologija, planiranjem, organizacijom, implementacijom građevinskih projekata i sofisticiranih, high-end elektro i IT sistema.
Zbog povećanog obima posla, tražimo tehničare elektro struke za rad na projektima u Kraljevini Saudijskoj Arabiji.
OPIS POSLA:
Izvođenje svih vrsta električnih instalacija, sistema uzemljenja, sklapanje razdjelnih i upravljačkih ormara, ugradnja elektroopreme (instalacijskih kanala, cijevi i kablova, sklopki, priključnica i rasvjetnih tijela-LED i dr)
Čitanje elektro šema i nacrta
Precizni monterski radovi, rad sa ručnim alatima
Ostali elektroinstalacijski i elektromonterski poslovi
USLOVI:
SSS ili VKV ili KV elektro struke
Radno iskustvo na poslovima u struci
Zdravstvena sposobnost za rad na visini i rad u inostranstvu
Sposobnost za timski rad
  Prijave slati putem opcije: ""Prijavite se na oglas"".
Mjesto rada: Kraljevina Saudijska Arabija
Potrebno je 20 izvršilaca.","Mjesto rada: Inostranstvo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 20
Moguć rad od kuće (remote): Ne
Oglas objavljen: 07.06.2024. u 16:00
Oglas ističe: 08.07.2024. u 23:59",Tehničar elektro struke
