,titles,offers,closest_green_isco,NACE,location
976,Asistent u računovodstvu (m/ž),"Asistent u računovodstvu (m/ž)
Firma Diorit d.o.o. Sarajevo je u potrazi za novim članom tima i to na radno mjesto:

ASISTENT U RAČUNOVODSTVU
- SA ISKUSTVOM - 
(MJESTO RADA: SARAJEVO).................................................................................1 izvršilac 

Uslovi: 
VSS Ekonomski fakultet
Potrebno radno iskustvo od najmanje 3 godine na knjigovodstvenim poslovima
Samostalnost i odgovornost u izvođenju poslova
Odlično poznavanje rada na računaru
Opis posla:
Knjiženje knjigovodstvenih promjena (računi, izvodi)
Komunikacija sa bankama i poduzimanje svih radnji za kreditne poslove, lizing, dokumentarne akreditive
Usaglašavanje analitičkih kartica kupaca i dobavljača
Prijava i odjava radnika
Administrativni poslovi – sačinjavanje ugovora o radu i praćenje kadrovskih poslova,
Provjera i usklađivanje šihterica sa poslovnicama, te evidencija istih u sistemu
Praćenje robnog knjigovodstva (ulaz i izlaz), knjiženje proizvodnje, te mjesečno usaglašavanje sa finansijskim stanjem
Vođenje blagajne (blagajna troškova, putni nalozi)
Nudimo:
Dinamično radno okruženje
Fiksna plata sa mogućnošću porasta u zavisnosti od vlastitog zalaganja
Više informacija o firmi možete naći na web stranici www.diorit.biz.
Ukoliko baš Vi smatrate da ste prava osoba za ovo radno mjesto pošaljite svoj CV i motivaciono pismo putem opcije ""PRIJAVI SE NA OGLAS"".
Lokacija: Sarajevo (Rad iz firme)
Broj izvršilaca: 1
Datum objave: 16.05.2024.
Trajanje oglasa: 30 dana (ističe 15.06.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",3212,N, Sarajevo
977,Front End Developer,"Front End Developer
LUMITIC zapošljava Front End developere. Pridruži se našem timu! 

Are you a pixel perfectionist with a passion for crafting exceptional web interfaces? Join us as a Front-End Engineer and help us build digital experiences that leave a lasting impression. As a Front-End Engineer, you'll be the visionary behind turning design concepts into interactive web wonders. 

Node+React
Lokacija: Sarajevo (Rad od kuće)
Broj izvršilaca: 2
Datum objave: 16.05.2024.
Trajanje oglasa: 30 dana (ističe 15.06.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",2512,J, Sarajevo
978,Prodavač/Blagajnik (m/ž),"Prodavač/Blagajnik (m/ž)
Inditex je vodeća modna grupacija na svijetu, prisutna sa sedam komercijalnih brendova: Zara, Pull&Bear, Massimo Dutti, Bershka, Stradivarius, Oysho i Zara Home. 

Mi smo ono što nosite na posao, ono za šta se odlučite da ukrasite svoj život, ono šta odaberete za tu posebnu priliku.

Volimo ono što radimo. Timski rad, strast, radoznalost, raznolikost, održivost, kreativnost, poniznost i zadovoljstvo kupaca dnevna su motivacija za više od 174.000 pojedinaca koji čine Inditex grupu. 

Da li zvuči kao ti? Možda jesi osoba Inditexa.

Za naše trgovine tražimo radnike na poziciji:

PRODAVAČ/ BLAGAJNIK (m/ž) 

Pridruži nam se i postani član našeg tima, ono što ti mi možemo ponuditi je:
Mentorstvo, podrška i timski rad
Zaposlenički popust
Naknada za prijevoz, Naknada za topli obrok, Regres
Pauza uključena u radno vrijeme
Novogodišnji poklon bon
Mogućnost osobnog i profesionalnog razvoja uz kontinuirane edukacije
Interne aplikacije za treninge, napredovanje unutar kompanije, učenje stranih jezika, kao i ekskluzivnu internu društvenu mrežu 
Mogućnost napredovanja
Povremena putovanja i prilika za rad u drugim gradovima
Osoba si koja je svestrana, motivisana, dinamična, kreativna, energična, snalažljiva, proaktivna te imaš završenu SSS?

Prijavi se putem opcije ""PRIJAVI SE NA OGLAS"".

Osiguravamo jednake mogućnosti za sve kandidate/zaposlene, bez obzira na invaliditet, rasu, pol, godine, etničku pripadnost, seksualnu orijentaciju ili druge jedinstvene karakteristike. U INDITEX-u želimo da budete vi!
Lokacija: Sarajevo, Mostar (Rad iz firme)
Broj izvršilaca: 2
Datum objave: 16.05.2024.
Trajanje oglasa: 30 dana (ističe 15.06.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",5211,G, Sarajevo
979,Prodavač/Blagajnik (m/ž),"Prodavač/Blagajnik (m/ž)
Inditex je vodeća modna grupacija na svijetu, prisutna sa sedam komercijalnih brendova: Zara, Pull&Bear, Massimo Dutti, Bershka, Stradivarius, Oysho i Zara Home. 

Mi smo ono što nosite na posao, ono za šta se odlučite da ukrasite svoj život, ono šta odaberete za tu posebnu priliku.

Volimo ono što radimo. Timski rad, strast, radoznalost, raznolikost, održivost, kreativnost, poniznost i zadovoljstvo kupaca dnevna su motivacija za više od 174.000 pojedinaca koji čine Inditex grupu. 

Da li zvuči kao ti? Možda jesi osoba Inditexa.

Za naše trgovine tražimo radnike na poziciji:

PRODAVAČ/ BLAGAJNIK (m/ž) 

Pridruži nam se i postani član našeg tima, ono što ti mi možemo ponuditi je:
Mentorstvo, podrška i timski rad
Zaposlenički popust
Naknada za prijevoz, Naknada za topli obrok, Regres
Pauza uključena u radno vrijeme
Novogodišnji poklon bon
Mogućnost osobnog i profesionalnog razvoja uz kontinuirane edukacije
Interne aplikacije za treninge, napredovanje unutar kompanije, učenje stranih jezika, kao i ekskluzivnu internu društvenu mrežu 
Mogućnost napredovanja
Povremena putovanja i prilika za rad u drugim gradovima
Osoba si koja je svestrana, motivisana, dinamična, kreativna, energična, snalažljiva, proaktivna te imaš završenu SSS?

Prijavi se!

Osiguravamo jednake mogućnosti za sve kandidate/zaposlene, bez obzira na invaliditet, rasu, pol, godine, etničku pripadnost, seksualnu orijentaciju ili druge jedinstvene karakteristike. U INDITEX-u želimo da budete vi!
Lokacija: Tuzla, Banja Luka, Sarajevo, Mostar (Rad iz firme)
Broj izvršilaca: 1
Datum objave: 09.04.2024.
Trajanje oglasa: 30 dana (ističe 09.05.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",5211,G, Tuzla
980,Autoelektričar / Automehaničar,"Autoelektričar / Automehaničar
Brčko Gas Brčko potražuje: 

Automehaničar/autoelektričar 

Uslovi: 
SSS, poželjno iskustvo.
Prijave slati putem opcije ""PRIJAVI SE NA OGLAS"". 
Lokacija: Brčko (Rad iz firme)
Broj izvršilaca: 1
Datum objave: 16.05.2024.
Trajanje oglasa: 30 dana (ističe 15.06.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",7412,C, Brčko
981,Servisni savjetnik (ž/m),"Servisni savjetnik (ž/m)
Brčko Gas Banja Luka potražuje: 

Servisni savjetnik 1 izvršilac, 

Uslovi: 
minimalno SSS, poželjno iskustvo
Prijave slati putem opcije ""PRIJAVI SE NA OGLAS"". 
Lokacija: Banja Luka (Rad iz firme)
Broj izvršilaca: 1
Datum objave: 16.05.2024.
Trajanje oglasa: 30 dana (ističe 15.06.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",7231,G, Banja Luka
982,Magacioner,"Magacioner
Brčko Gas Banja Luka potražuje: 

Magacioner 1 izvršilac, 

Uslovi: 
minimalno SSS, poželjno iskustvo
Prijave slati putem opcije ""PRIJAVI SE NA OGLAS"". 
Lokacija: Banja Luka (Rad iz firme)
Broj izvršilaca: 1
Datum objave: 16.05.2024.
Trajanje oglasa: 30 dana (ističe 15.06.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",1324,G, Banja Luka
983,Magacioner,"Magacioner
OGLAS ZA POSAO

Imate izražene organizacione sposobnosti? 
Istrajni ste I spremni na timski rad?
 Vi ste onda pravi izbor za X express brzu poštu.

Nama su zadovoljni zaposleni ključna karika strategije, a Vi, ukoliko imate potvrdne odgovore na sva dole navedena pitanja i spremni ste da to pokažete u praksi, pridružite nam se na poziciji – MAGACIONER.

Šta se očekuje od Vas?
Praćenje i evidentiranje razlike u težini pošiljaka,
Priprema ambalaže za otpremu pošiljaka (zbirne pošiljke),
Skeniranje, usmjeravanje i zaduženje pošiljaka,
Formiranje zbirnih pošiljaka i njihova priprema za utovar,
Dostavljanje informacija o oštećenim pošiljkama,
Pomoć kuriru pri utovaru pošiljaka,
Održavanje higijene radnog prostora.
Šta Vi možete da očekujete od nas?
Mogućnost rada u velikoj regionalnoj kompaniji, 
Radni odnos i stimulativna primanja,
Rad na puno radno vrijeme uz probni rad od 3 - 6 mjeseci,
Rad u ugodnoj atmosferi,
Napredovanje i profesionalno usavršavanje.
Potrebno je da posjedujete:
SSS- III ili IV stepen,
Vozačku dozvolu “B” kategorije.
A sada da se i mi malo predstavimo:

Osnovani smo 2016. godine sa ciljem postavljanja novih standarda u oblasti usluga brze pošte u Bosni i Hercegovini i za veoma kratko vrijeme pozicionirali se među vodeće kompanije na tržištu. 

Brzorastuća smo kompanija koja ima jasnu viziju – biti siguran i pouzdan partner u isporuci pošiljaka. Imamo mlad tim kvalifikovanih ljudi, koji je svojim predanim radom i ulaganjem u znanja i vještine, postao tim koji pomjera granice.

Pridružite nam se,  postanite dio X express tima.

Čekamo  Vas!

Oglas ostaje otvoren 30 dana od dana objave.  Sve vaše prijave sa CV-jem i motivacionim pismom  šaljite putem opcije ""PRIJAVI SE NA OGLAS"".
Lokacija: Vitez, Sarajevo, Banja Luka, Brčko (Rad iz firme)
Broj izvršilaca: 3
Datum objave: 03.04.2024.
Trajanje oglasa: 30 dana (ističe 03.05.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",1324,I, Sarajevo
984,Rukovaoc mašina za pakovanje,"Rukovaoc mašina za pakovanje
Lokacija: Tuzla (Rad iz firme)
Broj izvršilaca: 1
Datum objave: 16.05.2024.
Trajanje oglasa: 30 dana (ističe 15.06.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",3122,C, Tuzla
985,Rukovaoc sistema za doradu deterdženata,"Rukovaoc sistema za doradu deterdženata
Lokacija: Tuzla (Rad iz firme)
Broj izvršilaca: 1
Datum objave: 16.05.2024.
Trajanje oglasa: 30 dana (ističe 15.06.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",3122,C, Tuzla
986,Menadžer proizvodnje (m/ž),"Menadžer proizvodnje (m/ž)
GMP KOMPANI d.o.o. Banja Luka , fabrika  tapaciranog namještaja

Raspisuje konkurs za prijem Menadžer proizvodnje (m/ž)

Mjesto rada: Banja Luka i Laktaši 
 Opis posla:
Planiranje, koordinacija, kontrola, analiza i optimizacija proizvodnog procesa;
Saradnja sa drugim organizacionim djelovima kompanije  u cilju pravovremene isporuke gotovih proizvoda;
Vođenje, motivacija i podrška članovima tima, kao i razvoj zaposlenih u proizvodnji;
Praćenje novosti i dostignuća u tehnologijama i razvoju novih proizvoda;
Poštovanje standarda i principa poslovanja uz ažurnost dokumentacije;
Odgovornost za ispunjenje ekoloških standarda, održavanje opreme i higijenskih uslova proizvodnje.
Uslovi: 
VSS tehničkog smjera;
Radno iskustvo, na istim ili sličnim poslovima;
Znanje engleskog jezika;
Izražena sposobnost organizacije i kontrole kvaliteta;
Visok nivo inicijative i motivacije za postizanje rezultata.
Nudimo Vam
Rad u ugodnom i dinamičnom okruženju;
Mogućnost profesionalnog razvoja I usavršavanja.
Uz prijavu na Oglas kandidate molimo da dostave:
Biografiju
Oglas je otvoren 30 dana.

Napomena: Kontaktirat ćemo kandidate koji uđu u uži izbor.

Zainteresovani mogu popuniti prijavni upitnik na adresi, Bilećka 2F, 78000 Banja Luka (kod Prijedorske petlje)  ili poslati biografiju na e-mail  kad@gmpkompani.com

Kontakt telefon: 051 585 384 ili mob 066 826 960

Zaposlenje: Stalni radni odnos
Lokacija: Banja Luka, Laktaši (Rad iz firme)
Broj izvršilaca: 1
Datum objave: 16.05.2024.
Trajanje oglasa: 30 dana (ističe 15.06.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",1321,C, Banja Luka
987,Radnik za krojenje tekstila (m/ž),"Radnik za krojenje tekstila (m/ž)
GMP KOMPANI d.o.o. Banja Luka , fabrika  tapaciranog namještaja

Raspisuje konkurs za prijem Radnik za krojenje tekstila

Mjesto rada: Banja Luka (organizovan prevoz  radnika iz  Gradiške , Laktaša )

Opis osnovnih odgovornosti:
Izvršilac za pripremu materijala za krojenje  preko automatske mašine za polaganje  (link polagač materijala)
https://www.rigo.si/sr-rs/masine/masine-za-krojenje-secenje/masine-za-krojenje-i-secenje-tekstila/caron-sipe-masine-za-krojenje-i-secenje-tekstila-rigo-d-o-o/1503-masina-za-krojenje-i-secenje-caron-flash-50-rigo-d-o-o 
Izvršilac za rad na krojenju materijala – CNC  
(link CNC )
https://www.rigo.si/sr-rs/masine/masine-za-krojenje-secenje/masine-za-krojenje-i-secenje-tekstila/unicut/2337-unicut-prime-5 
Izvršilac na krojenju materijala – ručno krojenje 
Od kandidata očekujemo
Poželjno SSS - tekstilnog usmjerenja;
Poželjno 1 godina radnog iskustva na istim poslovima;
Preciznost i pedantnost u radu;
Odgovoran pristup poslu.
Nudimo Vam
Rad u ugodnom i dinamičnom okruženju;
Mogućnost profesionalnog razvoja.
Uz prijavu na Oglas kandidate molimo da dostave:
Biografiju
Oglas je otvoren 30 dana.

Napomena: Kontaktirat ćemo kandidate koji uđu u uži izbor.

Zainteresovani mogu popuniti prijavni upitnik na adresi, Bilećka 2F, 78000 Banja Luka (kod Prijedorske petlje)  ili poslati biografiju na e-mail  kad@gmpkompani.com 

Kontakt telefon: 051 585 384 ili mob 066 826 960

Zaposlenje: Stalni radni odnos
Lokacija: Banja Luka (Rad iz firme)
Broj izvršilaca: 3
Datum objave: 16.05.2024.
Trajanje oglasa: 30 dana (ističe 15.06.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",3122,C, Banja Luka
988,IT serviser,"IT serviser
Kompanija ALDA d.o.o. gold partner HP, članica Aptha Corp. d.o.o., širi svoj tim u skladu sa potrebama poslovanja.

Ukoliko ste spremni za rad u dinamičnom i agilnom radnom okruženju, želite biti dio tima koji radi na implementaciji printing rješenja, kao i na održavanju i podršci klijentima, komunikativni ste i usmjereni na kvalitet usluge klijentima i saradnju, imate iskustvo u radu sa printing opremom, pozivamo Vas da se javite na otvorenu poziciju:

IT SERVISER

Vaši zadaci:
Aktivno učestvovanje u procesu podrške klijentima
Instalacija, servis i održavanje informatičke opreme i printing uređaja
Aktivno praćenje i poznavanje softverskih paketa potrebnih za poslovanje i usluge koje društvo vrši
Učestvovanje u nabavci i selekciji novih uređaja, praćenje tehnoloških trendova
Selekcija i pregovaranje sa dobavljačima za nabavku robe, kontrola i optimizacija procesa nabavke robe
Obavljanje operativnih poslova vezano za printing process
Isporuka printera, računara, tonera i ostale potrošne robe klijentima
Učestvovanje u organizovanju servisa, kao i servisiranje lakših kvarova po potrebi
Prodajne aktivnosti, akviziranje novih klijenata
Vođenje računa o popratnoj dokumentaciji (povratnicama, fakturama, ugovorima i sl.)
Vođenje računa o skladištu i evidenciji u poslovnom softveru, kao i brige o robi koja se nabavlja i prodaje
Od vas očekujemo:
SSS, IT, ekonomskog ili tehničkog usmjerenja;
Radno iskustvo na tehničkim poslovima ili u IT;
Odlično poznavanje engleskog jezika – u govoru i pismu;
Posjedovanje sljedećih kompetencija i interpersonalnih vještina:
Komunikacijske vještine
Orijentacija na kvalitet usluge i zadovoljstvo klijenta
Orijentacija na rješavanje tehničkih problema
Timski rad
Nudimo Vam:
Mogućnost profesionalnog rasta i razvoja
Saradnja sa internacionalnim partnerima
Rad u ugodnoj poslovnoj atmosferi unutar dinamičnog tima
Ukoliko ste zainteresovani za navedenu priliku, Vaš CV možete poslati na e-mail: posao@aptha.ba ili putem opcije ""PRIJAVI SE NA OGLAS"".

Kontaktirat ćemo kandidate koji uđu u uži izbor razmatranja.
Lokacija: Sarajevo - Hrasnica (Rad iz firme)
Broj izvršilaca: 1
Datum objave: 16.05.2024.
Trajanje oglasa: 30 dana (ističe 15.06.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",7231,J, Sarajevo
989,Projektant/konstruktor tapaciranog namještaja (m/ž),"Projektant/konstruktor tapaciranog namještaja (m/ž)
GMP KOMPANI d.o.o. Banja Luka , fabrika  tapaciranog namještaja

Raspisuje konkurs za prijem Projektant/konstruktor tapaciranog namještaja (m/ž)

Mjesto rada: Banja Luka i Laktaši  

Opis posla:
Konstruiranje namještaja prema zahtjevima;
Rješavanje problematika konstrukcije namještaja;
Izrada radioničkih nacrta (razrada nacrta do najsitnijih detalja)/ izrada tehničke dokumentacije;
Definiranje potreba materijala za određeni proizvod/nalog/projekt;
Istraživanje i uvođenje novih materijala;
Praćenje  izrade proizvoda u procesu proizvodnje.
Uslovi: 
VSS tehničkog smjera (poželjno obrada drveta);
Radno iskustvo, na istim ili sličnim poslovima;
Poznavanje rada u programima AutoCad, Corel i  neki od programa za 3D modelovanje (Inventor, SolidWorks);
Znanje engleskog jezika
Izražena sposobnost organizacije i kontrole kvaliteta;
Visok nivo inicijative i motivacije za postizanje rezultata.
Nudimo Vam:
Rad u ugodnom i dinamičnom okruženju;
Mogućnost profesionalnog razvoja I usavršavanja.
Uz prijavu na Oglas kandidate molimo da dostave:
Biografiju
Oglas je otvoren 30 dana.

Napomena: Kontaktirat ćemo kandidate koji uđu u uži izbor.

Zainteresovani mogu popuniti prijavni upitnik na adresi, Bilećka 2F, 78000 Banja Luka (kod Prijedorske petlje)  ili poslati biografiju na e-mail  kad@gmpkompani.com

Kontakt telefon: 051 585 384 ili mob 066 826 960

Zaposlenje: Stalni radni odnos
Lokacija: Banja Luka, Laktaši (Rad iz firme)
Broj izvršilaca: 2
Datum objave: 16.05.2024.
Trajanje oglasa: 30 dana (ističe 15.06.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",2149,C, Banja Luka
990,Knjigovođa,"Knjigovođa
iNovine BH društvo sa ograničenom odgovornošću za unutrašnju i vanjsku trgovinu (dalje u tekstu: Društvo) sa sjedištem u Sarajevu su najveći specijalizovani i vodeći maloprodajni lanac kioska u Bosni i Hercegovini, koje broji preko 400 prodajnih mjesta i više od 900 uposlenika, a sada raspisuje:

O G L A S     Z A    P O S A O

Za prijem na sljedeću poziciju Društva na lokaciji Sarajevo:

Knjigovođa – Finansije (1 izvršiteljica/izvršitelj); 

OPIS POSLOVA I USLOVI

Opis poslova:
Usklađivanje robnog i financijskog stanja
Usklađivanje salda kupaca i dobavljača te ročne strukture
Knjiženje i kontrola troškova
Knjiženje osnovnih sredstava
Druge poslove po uputi Poslodavca odnosno nadređenog
Uslovi koje moraju ispunjavati kandidati_kinje na navedenoj poziciji:
Poznavanje osnova računovodstva
Poznavanje rada u Excelu i rad u računovodstvenim sustavima
Iskustvo rada u računovodstvu od minimalno dvije godine
Zaposlenje na određeno vrijeme
Benefiti: 
Prilika za kontinuirano učenje i razvoj
Internacionalno radno okruženje
Pozitivna i prijatna atmosfera za ra
NAČIN PRIJAVE

Ukoliko ste odgovorna i posvećena osoba, koja ispunjava navedene uslove i želi raditi u dinamičnom okruženju, onda svoju prijavu uz priložen CV podnesite putem opcije ""Prijavi se na oglas"".

Oglas ostaje otvoren do 15.06.2024. godine. 
Lokacija: Sarajevo (Rad iz firme)
Broj izvršilaca: 1
Datum objave: 16.05.2024.
Trajanje oglasa: 30 dana (ističe 15.06.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",4312,M, Sarajevo
991,Knjigovođa (m/ž),"Knjigovođa (m/ž)
Knjigovođa

Potrebne kvalifikacije:
VŠS ili VSS ekonomskog smjera s naglaskom na financije i računovodstvo
poželjno radno iskustvo na istim ili sličnim poslovima
izražene komunikacijske sposobnosti, fleksibilnost, samoinicijativnost i ažurnost
sklonost timskom radu
poznavanje Microsoft Office (Word, Excel, Outlook)
prednost je poznavanje Microsoft Business Central alata.
Ako se želite razvijati i raditi u dinamičnom profesionalnom okruženju, svoju prijavu za posao s biografijom, preporukama i potvrdama za tražene kvalifikacije možete poslati putem maila: erna.djedovic@rox.ba ili putem opcije ""PRIJAVI SE NA OGLAS"" ili pozivom na broj: 031/717-031.

Konkurs je otvoren do daljnjeg.

ROX d.o.o.
XIV br. 76, 76270 Orašje 
Kontakt telefon : 031/717-030
www.rox.ba
Lokacija: Orašje (Rad iz firme)
Broj izvršilaca: 1
Datum objave: 23.04.2024.
Trajanje oglasa: 30 dana (ističe 23.05.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",4312,M, Orašje
992,Knjigovođa,"Knjigovođa
Zapošljavamo radnika za rad u knjigovodstvenom birou „ Hera S“ doo Banja Luka, na radnom mjestu 

Knjigovođe

Kandidat treba imati:
SSS ili VSS 
najmanje godinu (1) radnog iskustva na knjigovodstveno- fnansijskim poslovima. 
Za prijavu i sve druge informacije možete poslati putem opcije ""PRIJAVI SE NA OGLAS"" ili se obratiti na kontakt telefon: 065/954-450.
Lokacija: Banja Luka (Rad iz firme)
Broj izvršilaca: 1
Datum objave: 09.04.2024.
Trajanje oglasa: 30 dana (ističe 09.05.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",4312,M, Banja Luka
993,Knjigovođa (m/ž),"Knjigovođa (m/ž)
- samostalno obavljanje računovodstveno-knjigovodstvenih poslova - knjiženje izvoda - knjiženje URA i IRA - obračun PDV-a - slanje JOPPD obrasca - usklađivanje računovodstvenih stavki s kupcima/dobavljačima - računovodstveni poslovi vezani uz transakcije s inozemnim i tuzemnim kupcima i dobavljačima
Izvor: www.moj-posao.net
Lokacija: Poreč (Rad iz firme)
Broj izvršilaca: 1
Datum objave: 26.04.2024.
Trajanje oglasa: 9 dana (ističe 06.05.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",4312,M, Poreč
994,Knjigovođa (m/ž),"Knjigovođa (m/ž)
- poslovi vezani za knjiženje u dvojnom i jednostavnom knjigovodstvu - obračun plaća - korištenje Office alata - knjiženje OPG-ovaca, udruga...
Izvor: www.moj-posao.net
Lokacija: Babina Greda (Rad iz firme)
Broj izvršilaca: 1
Datum objave: 26.04.2024.
Trajanje oglasa: 8 dana (ističe 05.05.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",4312,N,Babina Greda
995,Knjigovođa (m/ž),"Knjigovođa (m/ž)
- vođenje poslovnih knjiga za mikro, mala i srednja poduzeća, obrta, OPGa - knjiženje URA, IRA, izvoda - obračun plaća - pomoć u opisanim poslovima od strane vlasnika i radnika
Izvor: www.moj-posao.net
Lokacija: Daruvar (Rad iz firme)
Broj izvršilaca: 1
Datum objave: 25.04.2024.
Trajanje oglasa: 29 dana (ističe 25.05.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",4312,N,Daruvar
996,Knjigovođa (m/ž),"Knjigovođa (m/ž)
- samostalno obavljanje računovodstveno-knjigovodstvenih poslova - knjiženja ulaznih i izlaznih računa - knjiženje bankovnih izvoda - evidencija osnovnih sredstava, materijalne i nematerijalne imovine, obračun amortizacije - obračun PDV-a, PDV-S, ZP i dr. - usklađivanje s dobavljačima, kupcima i poreznom - redovita komunikacija s korisnicima ( usmena, pismena)
Izvor: www.moj-posao.net
Lokacija: Zagreb (Rad iz firme)
Broj izvršilaca: 1
Datum objave: 23.04.2024.
Trajanje oglasa: 9 dana (ističe 03.05.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",4312,M, Zagreb
997,Knjigovođa (m/ž),"Knjigovođa (m/ž)
Adria Casino d.o.o., jedna od vodećih kompanija u industriji priređivanja igara na sreću u automat klubovima i casinima, trenutno traži motiviranog knjigovođu koji će se pridružiti našem timu u našem uredu financija koji se nalazi u Sesvetama. Zadaci i odgovornosti: - vođenje financijskih evidencija i knjigovodstvenih transakcija u skladu s važećim propisima i standardima - sudjelovanje u pripremi financijskih izvještaja, bilance stanja i računa dobiti i gubitka - sudjelovanje u izradi i provjeri poreznih prijava i izvještaja - praćenje i analiza financijskih podataka te davanje preporuka za unaprjeđenje poslovanja - redovno praćenje propisa vezanih uz računovodstvo te ostali poslovi iz djelokruga radnog mjesta
Izvor: www.moj-posao.net
Lokacija: Zagreb, Sesvete (Rad iz firme)
Broj izvršilaca: 1
Datum objave: 22.04.2024.
Trajanje oglasa: 9 dana (ističe 02.05.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",4312,M, Zagreb
998,Knjigovođa (m/ž),"Knjigovođa (m/ž)
Knjigovodstveni poslovi (knjiženje ulaznih računa,izlaznih, obračun plače, obračun PDV, sastavljanje izvještaja i slično)
Izvor: www.moj-posao.net
Lokacija: Požega (Srbija) (Rad iz firme)
Broj izvršilaca: 1
Datum objave: 18.04.2024.
Trajanje oglasa: 11 dana (ističe 30.04.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",4312,M, Požega
999,Knjigovođa (m/ž),"Knjigovođa (m/ž)
Vođenje poslovnih knjiga i ostali administrativni poslovi.
Izvor: www.moj-posao.net
Lokacija: Makarska (Rad iz firme)
Broj izvršilaca: 1
Datum objave: 10.04.2024.
Trajanje oglasa: 19 dana (ističe 30.04.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",4312,M, Makarska
1000,Knjigovođa (m/ž),"Knjigovođa (m/ž)
Knjigovodstveni poslovi (unos poreznih evidencija, knjiženje ulaznih/izlaznih računa, izvoda, blagajne, obračun PDV-a, usklađenje glavne knjige, usklađenje salda konti kupaca i dobavljača, obračun plaće, obračun putnih naloga, knjiženje obrta i neprofitnih udruga) i ostali administrativni poslovi.
Izvor: www.moj-posao.net
Lokacija: Jastrebarsko (Rad iz firme)
Broj izvršilaca: 1
Datum objave: 10.04.2024.
Trajanje oglasa: 19 dana (ističe 30.04.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",4312,K, Jastrebarsko
